airport,source,model,timing,rows,target_days,first_target,last_target,available_at_rows,fetched_at_rows,evidence_class
ZSPD,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZSPD,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZSPD,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
ZSQD,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZSQD,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZSQD,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZSQD,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZSQD,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZSQD,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZSQD,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZSQD,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZSQD,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZSQD,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZSQD,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZSQD,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
ZUCK,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZUCK,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZUCK,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZUCK,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZUCK,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZUCK,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZUCK,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZUCK,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZUCK,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZUCK,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZUCK,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZUCK,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
ZUUU,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
ZUUU,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
ZUUU,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,0,1,unavailable
ZUUU,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZUUU,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZUUU,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZUUU,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZUUU,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZUUU,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZUUU,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZUUU,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
ZUUU,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
