airport,source,model,timing,rows,target_days,first_target,last_target,available_at_rows,fetched_at_rows,evidence_class
RCTP,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RCTP,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RCTP,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
RCTP,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RCTP,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RCTP,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
RJTT,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RJTT,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RJTT,open-meteo,ecmwf_ifs025,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
RJTT,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
RJTT,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
RJTT,open-meteo,gfs_global,D0-morning,2,2,2026-08-10,2026-08-11,1,2,historical-causal
RJTT,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RJTT,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RJTT,open-meteo,icon_global,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
RJTT,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RJTT,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RJTT,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
RKPK,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RKPK,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RKPK,open-meteo,ecmwf_ifs025,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
RKPK,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RKPK,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RKPK,open-meteo,gfs_global,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
RKPK,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
RKPK,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
RKPK,open-meteo,icon_global,D0-morning,2,2,2026-08-10,2026-08-11,1,2,historical-causal
RKPK,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RKPK,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
RKPK,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
RKSI,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
RKSI,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
RKSI,open-meteo,ecmwf_ifs025,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
RKSI,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
